step,fixed_time,frame,input_x,input_y,desired_vx,desired_vy,desired_vz,target_ax,target_ay,target_az,applied_ax,applied_ay,applied_az,grounded,stepped,step_rise,full_rig_acceleration,Player_vx,Player_vy,Player_vz,Player_avx,Player_avy,Player_avz,ChestPhysics_vx,ChestPhysics_vy,ChestPhysics_vz,ChestPhysics_angle_x,ChestPhysics_angle_y,ChestPhysics_angle_z,ChestPhysics_rel_avx,ChestPhysics_rel_avy,ChestPhysics_rel_avz,ThighPhysics_L_vx,ThighPhysics_L_vy,ThighPhysics_L_vz,ThighPhysics_L_angle_x,ThighPhysics_L_angle_y,ThighPhysics_L_angle_z,ThighPhysics_L_rel_avx,ThighPhysics_L_rel_avy,ThighPhysics_L_rel_avz,ThighPhysics_R_vx,ThighPhysics_R_vy,ThighPhysics_R_vz,ThighPhysics_R_angle_x,ThighPhysics_R_angle_y,ThighPhysics_R_angle_z,ThighPhysics_R_rel_avx,ThighPhysics_R_rel_avy,ThighPhysics_R_rel_avz,ShinPhysics_L_vx,ShinPhysics_L_vy,ShinPhysics_L_vz,ShinPhysics_L_angle_x,ShinPhysics_L_angle_y,ShinPhysics_L_angle_z,ShinPhysics_L_rel_avx,ShinPhysics_L_rel_avy,ShinPhysics_L_rel_avz,ShinPhysics_R_vx,ShinPhysics_R_vy,ShinPhysics_R_vz,ShinPhysics_R_angle_x,ShinPhysics_R_angle_y,ShinPhysics_R_angle_z,ShinPhysics_R_rel_avx,ShinPhysics_R_rel_avy,ShinPhysics_R_rel_avz,FootPhysics_L_vx,FootPhysics_L_vy,FootPhysics_L_vz,FootPhysics_L_angle_x,FootPhysics_L_angle_y,FootPhysics_L_angle_z,FootPhysics_L_rel_avx,FootPhysics_L_rel_avy,FootPhysics_L_rel_avz,FootPhysics_R_vx,FootPhysics_R_vy,FootPhysics_R_vz,FootPhysics_R_angle_x,FootPhysics_R_angle_y,FootPhysics_R_angle_z,FootPhysics_R_rel_avx,FootPhysics_R_rel_avy,FootPhysics_R_rel_avz,camera_offset_x,camera_offset_y,camera_offset_z,camera_distance
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5500003,2.13215256,-2.82050323,3.57824159
1,0.0199999929138322,2,0,0,0,0,0,-0.0403742231,0,0.0182626322,0,0,0,0,0,0,1,0.000807484146,-0.17405583,-0.0003652525,0,0,0,0.009857623,-0.1301699,-0.0007003928,0.024248179,-0.00183105469,0.05631886,0.0187213887,-0.002343124,0.0288325232,0.000854112,-0.17396529,-0.0252742171,-0.134613037,-0.006866455,0.00265029375,-0.127504051,-0.005644791,0.00179940776,0.000884377747,-0.17405583,-0.0260984879,-0.132141113,-0.00598144531,0.00275490549,-0.125954971,-0.004887905,0.00188739772,-6.423013E-05,-0.177589625,0.003823428,0.6381655,-0.00561523438,0.0022319206,0.5639726,-0.00528056035,0.002165905,-5.73790931E-05,-0.177677289,0.00381592615,0.6401472,-0.00491333,0.00228514173,0.5659156,-0.00464290846,0.00221556076,-8.97659047E-05,-0.214666039,0.08460981,0.495589942,-0.00341796875,0.0013098066,0.463403046,-0.0039628474,0.00157798454,-0.000108300992,-0.214778081,0.08477558,0.4957767,-0.00305175781,0.00129645923,0.463962018,-0.00356294122,0.0015696889,-0.550032139,2.13567233,2.738815,3.51635313
2,0.0399999858276644,3,0,0,0,0,0,-0.0129940361,0,0.09765431,0,0,0,0,0,0,1,0.000259880617,-0.351888359,-0.00195308554,0,0,0,0.000643655658,-0.3370413,-0.00436450867,0.03097205,-0.00180053711,0.0141898766,0.00440500351,0.00164289214,0.009993357,-3.84952873E-05,-0.351839185,-0.0272479169,-0.28729248,-0.00183105469,7.586719E-05,-0.123708025,0.005619535,-0.000911578943,3.259722E-05,-0.351831317,-0.02622247,-0.289794922,0.0003491547,0.00014203212,-0.1237401,0.00646245945,-0.0008780127,0.000262778049,-0.350132644,0.0313427821,1.203685,-0.00424194336,0.00230386434,0.6345971,0.00267455261,-0.000584099151,0.000313816185,-0.3501744,0.0311758444,1.20284283,-0.001953125,0.00245925458,0.63159126,0.00395247433,-0.0005356819,8.617058E-05,-0.3878334,0.131433323,1.06553721,-0.006439209,0.00260989787,0.5168135,-0.0005656723,0.0009322051,-1.54817826E-07,-0.387876838,0.131162733,1.06541789,-0.004211426,0.00266342773,0.516375363,0.0009890392,0.00102903857,-0.5500243,2.139183,2.73884559,3.51850915
3,0.059999978741496596,4,0,0,0,0,0,0.0169625543,0,0.182640389,0,0,0,0,0,0,1,-0.000339250953,-0.5361645,-0.00365280639,0,0,0,0.00377809349,-0.5294393,-0.00507626031,0.03521468,0.000107344938,-0.0168151855,0.00173465942,0.003420935,0.0256685838,-0.000405946019,-0.5361302,-0.0194919072,-0.392333984,0.00473342137,-0.00100708008,-0.0760856643,0.00585710257,-0.002318965,-0.000380634068,-0.536084354,-0.0189550836,-0.3953247,0.007948549,-0.00109863281,-0.07923596,0.00637838244,-0.00210067257,0.0003223856,-0.532021344,0.0554986037,1.79063976,0.00323804421,0.00028784055,0.6440744,0.006062288,-0.00144127745,0.000376976328,-0.5319637,0.05561597,1.789276,0.006840828,0.000332949072,0.6432614,0.007149611,-0.0015655919,0.000236086227,-0.566791952,0.1579627,1.64961708,0.00147948647,0.00124430738,0.5122031,0.006653044,-0.00173570239,0.000189131213,-0.566651165,0.157802671,1.64882028,0.00547772972,0.00132191263,0.511230946,0.00807812,-0.0017442184,-0.550009847,2.142866,2.73888063,3.52077436
4,0.0799999716553288,4,0,0,0,0,0,0.029554192,0,0.24958989,0,0,0,0,0,0,1,-0.0005910836,-0.725440443,-0.004991796,0,0,0,0.00497175846,-0.72083205,-0.005725378,0.03430348,0.0009963145,-0.0380859375,-0.0003774499,0.0028199628,0.0411472768,-0.000430991524,-0.725434363,-0.0120962877,-0.4474182,0.00745095173,-0.00134277344,-0.03402183,0.0021786557,-0.00216122461,-0.000425931968,-0.725389063,-0.0121793244,-0.4491577,0.0112864878,-0.00155639648,-0.0372334532,0.00236440566,-0.00192198285,0.000192340973,-0.720387638,0.07300049,2.38990021,0.00741529372,-0.00146484375,0.6283124,0.00310757267,-0.00129521789,0.000223507581,-0.720317,0.07305391,2.38950872,0.0116394041,-0.00152587891,0.629045069,0.00366459321,-0.00141826284,0.0002632736,-0.7537602,0.176243,2.221724,0.00737734372,-0.00048828125,0.5079743,0.00443058275,-0.00177126948,0.0002739391,-0.7536702,0.176401481,2.2208426,0.0120851677,-0.000396728516,0.508087456,0.005020109,-0.00186935,-0.5499976,2.157366,2.73897839,3.52969241
5,0.099999964569160993,7,0,0,0,0,0,0.0321091227,0,0.299429417,0,0,0,0,0,0,1,-0.0006421822,-0.918468058,-0.005988586,0,0,0,0.00479361368,-0.912958,-0.00606807461,0.0298329834,0.00134553679,-0.0489501953,-0.00160890387,0.00221764226,0.0514690056,-0.0004747805,-0.918498337,-0.00661288947,-0.4625244,0.00741046853,-0.0016784668,-0.00269053574,-0.000199015718,-0.0013083641,-0.000476937857,-0.9184613,-0.006770942,-0.463409424,0.0114692859,-0.00192260742,-0.004260409,-0.0002719299,-0.0011142249,-1.32637942E-05,-0.9127984,0.0849431753,2.989545,0.007856988,-0.00280761719,0.6039701,0.000185785582,-0.001096985,5.55961742E-06,-0.9127485,0.0849226,2.98995423,0.0121859526,-0.0029296875,0.6045675,0.0003180618,-0.00120175059,0.000250896177,-0.9449844,0.1880354,2.77969718,0.008229222,-0.00204467773,0.5037472,0.0005607775,-0.0014675092,0.0002935836,-0.9449575,0.188174531,2.77921748,0.0129072564,-0.001953125,0.504287958,0.000576486345,-0.001593587,-0.5500132,2.136172,2.738836,3.51667
6,0.11999995748299319,12,0,0,0,0,0,0.0298217721,0,0.334238559,0,0,0,0,0,0,1,-0.0005964352,-1.11385047,-0.00668476848,0,0,0,0.004545401,-1.10612416,-0.00623885775,0.0229709446,0.00174511131,-0.05090332,-0.00227661827,0.00190678309,0.05533746,-0.000483705022,-1.11391187,-0.00260424381,-0.447784424,0.006188553,-0.00198364258,0.020305926,-0.00123184361,-0.000572420366,-0.000488994468,-1.1138829,-0.00269710645,-0.448150635,0.0101648076,-0.00225830078,0.0200504176,-0.00148554938,-0.000432528526,-0.000202880459,-1.10770059,0.09225646,3.58001471,0.00652163755,-0.00366210938,0.5736157,-0.001171168,-0.0007711002,-0.000188945924,-1.10767078,0.09223886,3.58067751,0.0106591629,-0.00384521484,0.5738394,-0.0013027126,-0.000865000242,0.000108754452,-1.13852346,0.193884239,3.32205319,0.00653001759,-0.00335693359,0.496306032,-0.00138001773,-0.0011173893,0.000163819379,-1.13849461,0.193905354,3.32170224,0.0108804535,-0.00335693359,0.4965149,-0.00162363192,-0.00125164771,-0.5500143,2.13535237,2.73882914,3.516167
7,0.13999995039682539,15,0,0,0,0,0,0.024392955,0,0.3559492,0,0,0,0,0,0,1,-0.000487858924,-1.31025314,-0.007118981,0,0,0,0.0043017,-1.30032957,-0.00631031767,0.0150318528,0.00226098578,-0.0455627441,-0.00243975013,0.00157752691,0.0537955128,-0.000422800833,-1.310334,0.0002940183,-0.411590576,0.00451274961,-0.00213623047,0.03667552,-0.00163071277,-6.52871749E-05,-0.000429950858,-1.3103112,0.000228062971,-0.411529541,0.008190104,-0.00244140625,0.03709822,-0.00200307416,2.672174E-05,-0.000345766719,-1.30375969,0.0957154855,4.152915,0.00465268735,-0.00393676758,0.5381888,-0.00159260747,-0.000306346832,-0.000335611927,-1.30373287,0.0957161039,4.15351343,0.008415306,-0.004211426,0.5382552,-0.00189376133,-0.000389678666,-0.000133333335,-1.33300638,0.194518328,3.846005,0.00434244471,-0.004272461,0.484629542,-0.00180770666,-0.000541835558,-7.675924E-05,-1.33296025,0.19448252,3.84535933,0.008226825,-0.00430297852,0.484462351,-0.00218510139,-0.0006671903,-0.5500154,2.13404584,2.73882031,3.515367
8,0.15999994331065759,20,0,0,0,0,0,0.0172416624,0,0.364122838,0,0,0,0,0,0,1,-0.000344833126,-1.506603,-0.00728245359,0,0,0,0.00400656229,-1.49531853,-0.00631186645,0.0071651144,0.00277604628,-0.0350036621,-0.00216004252,0.00116058835,0.04865692,-0.000322958076,-1.50670445,0.00434790552,-0.350097656,0.00277007115,-0.00207519531,0.0575968251,-0.00168857665,0.000328884023,-0.000333717238,-1.50668693,0.0042999764,-0.3496399,0.00593804,-0.002380371,0.0584091842,-0.00218862924,0.0003712729,-0.000440091739,-1.50051379,0.09569732,4.65213442,0.00280510867,-0.00366210938,0.453824818,-0.00158862828,0.000177137917,-0.00043594942,-1.50049734,0.09570718,4.652264,0.0060198,-0.00399780273,0.453607678,-0.002051217,0.000107260727,-0.000377146469,-1.52597189,0.18399854,4.310472,0.00242666272,-0.00451660156,0.434288561,-0.00164802489,0.000126302024,-0.000324270921,-1.52591288,0.183915988,4.309051,0.005726072,-0.004638672,0.433772922,-0.002144262,1.828718E-05,-0.5500151,2.13628244,2.73883,3.51673269
9,0.17999993622448979,26,0,0,0,0,0,0.009802418,0,0.3478877,0,0,0,0,0,0,1,-0.000196048277,-1.70215774,-0.00695775123,0,0,0,0.003648706,-1.6905365,-0.006111997,0.0005874937,0.003115413,-0.0216064453,-0.00120380637,0.0006589199,0.0416785665,-0.000198921931,-1.702305,0.0151745491,-0.229187012,0.00112423545,-0.00177001953,0.109964266,-0.00162377662,0.0006733563,-0.000224402145,-1.702293,0.015100332,-0.228546143,0.00335253822,-0.002105713,0.110885128,-0.00243496266,0.000646951667,-0.00048526164,-1.69930458,0.09010773,4.886671,0.00117295375,-0.00289917,0.199435323,-0.00144250807,0.000619867234,-0.000493688043,-1.69929075,0.09011138,4.886865,0.0034573935,-0.00329589844,0.199482128,-0.002248541,0.000553457765,-0.000558853848,-1.71339691,0.1416319,4.571781,0.00090388197,-0.004058838,0.2481948,-0.00137881376,0.0007317167,-0.0005064062,-1.71336055,0.141600266,4.569803,0.00332062,-0.004272461,0.247970626,-0.002159387,0.0006423965,-0.5500158,2.13463616,2.73882031,3.51572537
